client_id,group,journeys,completed_journeys,completed,furthest_step,step_backs,repeated_steps,completion_time_s,effective_time_s,error_rate_a,error_rate_b,step_backs_per_journey,abandoned,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,age_band
6579774,Control,2,1,True,4,0,0,154.0,154.0,0.0,0.0,0.0,False,12.0,154.0,64.0,M,2.0,365798.51,4.0,7.0,50-65
6579971,Test,1,1,True,4,1,0,322.0,301.0,0.0,1.0,1.0,False,7.0,90.0,28.5,U,2.0,73108.64,6.0,9.0,<35
6579978,Control,1,0,False,1,0,0,,,0.0,0.0,0.0,True,21.0,253.0,74.0,M,2.0,71192.58,1.0,4.0,65+
6580084,Test,1,0,False,0,0,0,,,0.0,0.0,0.0,True,21.0,258.0,55.0,F,2.0,55037.03999999999,6.0,9.0,50-65
6580232,Test,1,1,True,4,0,0,611.0,611.0,0.0,0.0,0.0,False,14.0,179.0,63.5,F,2.0,34812.05,2.0,5.0,50-65
6580601,Control,1,0,False,0,0,2,,,2.0,0.0,0.0,True,22.0,272.0,28.0,F,2.0,65013.44,3.0,6.0,<35
6580700,Control,1,1,True,4,1,1,556.0,419.0,1.0,1.0,1.0,False,20.0,246.0,46.5,U,2.0,169407.74,4.0,7.0,35-50
6581133,Control,2,0,False,3,3,2,,,1.0,1.5,1.5,True,6.0,72.0,50.0,U,2.0,25928.32,1.0,4.0,35-50
6581322,Test,1,1,True,4,0,0,137.0,137.0,0.0,0.0,0.0,False,8.0,103.0,45.0,F,2.0,95114.69,3.0,6.0,35-50
6581483,Test,1,0,False,3,0,0,,,0.0,0.0,0.0,True,14.0,178.0,32.0,M,2.0,26666.94,0.0,3.0,<35
6581548,Control,3,1,True,4,0,0,101.0,101.0,0.0,0.0,0.0,False,5.0,69.0,31.0,U,2.0,31094.61,4.0,7.0,<35
6581703,Control,1,0,False,1,2,0,,,0.0,2.0,2.0,True,15.0,191.0,67.0,M,2.0,45028.47,0.0,3.0,65+
6581705,Control,1,0,False,3,1,0,,,0.0,1.0,1.0,True,25.0,306.0,68.0,F,2.0,74745.45,4.0,7.0,65+
6581832,Test,1,1,True,4,0,0,137.0,137.0,0.0,0.0,0.0,False,25.0,307.0,69.0,M,2.0,27547.95,5.0,8.0,65+
6582144,Control,1,0,False,3,0,0,,,0.0,0.0,0.0,True,10.0,120.0,33.0,F,2.0,104653.55,6.0,9.0,<35
6582564,Test,3,1,True,4,0,0,251.0,251.0,0.0,0.0,0.0,False,6.0,82.0,31.0,U,2.0,43266.86,3.0,6.0,<35
6582923,Test,2,0,False,2,3,2,,,1.0,1.5,1.5,True,20.0,250.0,57.0,U,2.0,56798.54,3.0,6.0,50-65
6582932,Control,1,1,True,4,0,0,112.0,112.0,0.0,0.0,0.0,False,5.0,71.0,30.5,U,2.0,47572.05,3.0,6.0,<35
6582979,Control,2,1,True,4,1,0,221.0,221.0,0.0,0.5,0.5,False,12.0,155.0,46.5,F,2.0,31642.64,1.0,4.0,35-50
6583112,Test,1,0,False,3,3,1,,,1.0,3.0,3.0,True,17.0,211.0,65.0,F,2.0,27852.47,1.0,4.0,50-65
6583172,Control,1,1,True,4,0,0,147.0,147.0,0.0,0.0,0.0,False,27.0,325.0,54.5,F,3.0,114920.01,1.0,4.0,50-65
6583380,Control,1,1,True,4,0,0,331.0,331.0,0.0,0.0,0.0,False,7.0,88.0,66.5,U,2.0,180433.58,4.0,7.0,65+
6583420,Control,1,1,True,4,0,1,203.0,66.0,1.0,0.0,0.0,False,4.0,58.0,28.5,U,2.0,37676.03,0.0,3.0,<35
6583508,Test,1,1,True,4,0,0,90.0,90.0,0.0,0.0,0.0,False,10.0,126.0,30.0,F,2.0,32858.14,0.0,3.0,<35
6583985,Control,2,1,True,4,0,0,532.0,532.0,0.0,0.0,0.0,False,27.0,333.0,66.5,M,3.0,172934.40000000002,5.0,8.0,65+
6584092,Control,1,0,False,1,0,2,,,2.0,0.0,0.0,True,12.0,150.0,59.0,F,2.0,29777.28,2.0,5.0,50-65
6584442,Control,1,0,False,1,0,1,,,1.0,0.0,0.0,True,16.0,195.0,56.0,M,2.0,34077.09,0.0,3.0,50-65
6584723,Control,2,1,True,4,0,0,71.0,71.0,0.0,0.0,0.0,False,10.0,121.0,28.5,M,3.0,40121.76,6.0,9.0,<35
6584763,Control,1,1,True,4,1,0,309.0,268.0,0.0,1.0,1.0,False,7.0,92.0,55.5,U,3.0,44882.65,6.0,9.0,50-65
6584771,Test,1,0,False,0,0,1,,,1.0,0.0,0.0,True,6.0,74.0,22.0,M,2.0,24956.13,0.0,3.0,<35
6584878,Test,1,1,True,4,0,0,308.0,308.0,0.0,0.0,0.0,False,5.0,70.0,31.5,U,2.0,55567.14,2.0,5.0,<35
6584990,Control,1,1,True,4,0,0,211.0,211.0,0.0,0.0,0.0,False,14.0,178.0,24.5,M,2.0,47731.94,3.0,6.0,<35
6585215,Control,1,0,False,0,0,0,,,0.0,0.0,0.0,True,16.0,200.0,34.0,M,2.0,212054.04,4.0,7.0,<35
6585563,Test,1,1,True,4,0,1,255.0,227.0,1.0,0.0,0.0,False,5.0,71.0,47.5,F,2.0,639861.1000000001,4.0,7.0,35-50
6585877,Control,1,1,True,4,0,0,563.0,563.0,0.0,0.0,0.0,False,21.0,259.0,23.5,M,2.0,32483.4,6.0,9.0,<35
6586073,Test,1,1,True,4,0,0,141.0,141.0,0.0,0.0,0.0,False,5.0,71.0,30.0,U,2.0,89109.1,1.0,4.0,<35
6586093,Test,1,1,True,4,0,0,208.0,208.0,0.0,0.0,0.0,False,22.0,264.0,53.5,F,2.0,172682.21999999997,2.0,5.0,50-65
6586221,Control,1,1,True,4,0,0,259.0,259.0,0.0,0.0,0.0,False,8.0,103.0,28.0,U,2.0,41679.38,0.0,3.0,<35
6586284,Control,1,1,True,4,1,0,410.0,335.0,0.0,1.0,1.0,False,7.0,92.0,22.5,U,2.0,59124.11,1.0,4.0,<35
6586396,Control,1,1,True,4,0,1,281.0,147.0,1.0,0.0,0.0,False,6.0,76.0,30.0,U,2.0,23818.79,0.0,3.0,<35
6586594,Test,1,1,True,4,0,2,226.0,192.0,2.0,0.0,0.0,False,6.0,72.0,25.0,U,2.0,60653.31,0.0,3.0,<35
6586655,Control,1,1,True,4,0,1,1025.0,329.0,1.0,0.0,0.0,False,26.0,312.0,46.5,F,2.0,39888.64,0.0,3.0,35-50
6586925,Test,1,1,True,4,0,0,519.0,519.0,0.0,0.0,0.0,False,12.0,155.0,69.5,M,2.0,48866.3,2.0,5.0,65+
